UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
MG,31,53103,Presidente Bernardes,5.315
MG,31,53202,Presidente Juscelino,3.572
MG,31,53301,Presidente Kubitschek,3.000
MG,31,53400,Presidente Olegário,19.680
MG,31,53509,Alto Jequitibá,8.286
MG,31,53608,Prudente de Morais,10.931
MG,31,53707,Quartel Geral,3.603
MG,31,53806,Queluzito,1.948
MG,31,53905,Raposos,16.501
MG,31,54002,Raul Soares,23.663
MG,31,54101,Recreio,10.522
MG,31,54150,Reduto,7.247
MG,31,54200,Resende Costa,11.578
MG,31,54309,Resplendor,17.396
MG,31,54408,Ressaquinha,4.826
MG,31,54457,Riachinho,8.132
MG,31,54507,Riacho dos Machados,9.471
MG,31,54606,Ribeirão das Neves,341.415
MG,31,54705,Ribeirão Vermelho,4.061
MG,31,54804,Rio Acima,10.524
MG,31,54903,Rio Casca,13.384
MG,31,55009,Rio Doce,2.630
MG,31,55108,Rio do Prado,5.117
MG,31,55207,Rio Espera,5.332
MG,31,55306,Rio Manso,5.924
MG,31,55405,Rio Novo,8.964
MG,31,55504,Rio Paranaíba,12.356
MG,31,55603,Rio Pardo de Minas,31.171
MG,31,55702,Rio Piracicaba,14.325
MG,31,55801,Rio Pomba,18.007
MG,31,55900,Rio Preto,5.493
MG,31,56007,Rio Vermelho,12.635
MG,31,56106,Ritápolis,4.521
MG,31,56205,Rochedo de Minas,2.335
MG,31,56304,Rodeiro,8.333
MG,31,56403,Romaria,3.507
MG,31,56452,Rosário da Limeira,4.648
MG,31,56502,Rubelita,5.609
MG,31,56601,Rubim,10.269
MG,31,56700,Sabará,137.877
MG,31,56809,Sabinópolis,15.364
MG,31,56908,Sacramento,26.556
MG,31,57005,Salinas,41.864
MG,31,57104,Salto da Divisa,7.014
MG,31,57203,Santa Bárbara,31.873
MG,31,57252,Santa Bárbara do Leste,8.212
MG,31,57278,Santa Bárbara do Monte Verde,3.212
MG,31,57302,Santa Bárbara do Tugúrio,4.385
MG,31,57336,Santa Cruz de Minas,8.723
MG,31,57377,Santa Cruz de Salinas,4.074
MG,31,57401,Santa Cruz do Escalvado,4.693
MG,31,57500,Santa Efigênia de Minas,4.354
MG,31,57609,Santa Fé de Minas,3.806
MG,31,57658,Santa Helena de Minas,6.406
MG,31,57708,Santa Juliana,14.497
MG,31,57807,Santa Luzia,221.705
MG,31,57906,Santa Margarida,16.393
MG,31,58003,Santa Maria de Itabira,10.867
MG,31,58102,Santa Maria do Salto,5.203
MG,31,58201,Santa Maria do Suaçuí,14.607
MG,31,58300,Santana da Vargem,7.047
MG,31,58409,Santana de Cataguases,3.909
MG,31,58508,Santana de Pirapama,7.538
MG,31,58607,Santana do Deserto,3.985
MG,31,58706,Santana do Garambéu,2.494
MG,31,58805,Santana do Jacaré,4.847
MG,31,58904,Santana do Manhuaçu,8.660
MG,31,58953,Santana do Paraíso,36.048
MG,31,59001,Santana do Riacho,4.334
MG,31,59100,Santana dos Montes,3.753
MG,31,59209,Santa Rita de Caldas,8.900
MG,31,59308,Santa Rita de Jacutinga,4.843
MG,31,59357,Santa Rita de Minas,7.322
MG,31,59407,Santa Rita de Ibitipoca,3.380
MG,31,59506,Santa Rita do Itueto,5.426
MG,31,59605,Santa Rita do Sapucaí,44.226
MG,31,59704,Santa Rosa da Serra,3.364
MG,31,59803,Santa Vitória,19.997
